Company,Career Page URL
Walmart,https://careers.walmart.com//
Amazon,https://www.amazon.jobs/
Apple,https://www.apple.com/careers/in/
CVS Health,https://jobs.cvshealth.com/
UnitedHealth Group,https://careers.unitedhealthgroup.com/
Exxon Mobil,https://jobs.exxonmobil.com/
Berkshire Hathaway,https://bhhc.com/careers-at-bhhc/
Alphabet,https://www.alphabet.com/en-ww/company-careers
McKesson,https://careers.mckesson.com/en
AmerisourceBergen,https://www.amerisourcebergen.com/careers-home
Costco Wholesale,https://www.costco.com/careers.html
Cigna,https://jobs.thecignagroup.com/
AT&T,https://www.att.jobs/
Microsoft,https://careers.microsoft.com/
Cardinal Health,https://www.cardinalhealth.com/en/careers.html
Chevron,https://careers.chevron.com/
Home Depot,https://careers.homedepot.com/
Walgreens Boots Alliance,https://www.walgreensbootsalliance.com/careers
Marathon Petroleum,https://www.marathonpetroleum.com/Jobs/
Elevance Health,https://careers.elevancehealth.com/en/
Kroger,https://www.krogerfamilycareers.com/
Ford Motor,https://corporate.ford.com/careers.html
Verizon Communications,https://mycareer.verizon.com/jobs/
JPMorgan Chase,https://careers.jpmorgan.com/us/en/chase
General Motors,https://search-careers.gm.com/en/jobs/
Centene,https://jobs.centene.com/
Meta Platforms,https://www.metacareers.com/jobs
Comcast,https://jobs.comcast.com/
Phillips 66,https://careers.phillips66.com/
Valero Energy,https://www.valero.com/careers
Dell Technologies,https://jobs.dell.com/en
Target,https://india.target.com/careers
Fannie Mae,https://www.fanniemae.com/careers
United Parcel Service,https://www.jobs-ups.in/
Lowe's,https://talent.lowes.com/in/en/home
Bank of America,https://careers.bankofamerica.com/en-us
Johnson & Johnson,https://www.careers.jnj.com/india/overview
Archer Daniels Midland,https://www.adm.com/en-us/culture-and-careers/join-team-adm/
FedEx,https://careers.fedex.com/
Humana,https://careers.humana.com/
Wells Fargo,https://www.wellsfargo.com/about/careers/
State Farm Insurance,https://jobs.statefarm.com/
Pfizer,https://www.pfizer.com/about/careers
Citigroup,https://jobs.citi.com/
PepsiCo,https://www.pepsicojobs.com/main/
Intel,https://jobs.intel.com/en
Procter & Gamble,https://www.pgcareers.com/in/en
General Electric,https://jobs.gecareers.com/
IBM,https://www.ibm.com/in-en/careers/search
MetLife,https://www.metlifecareers.com/en_US/ml/Home
